SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,$/SQUARE FEET
PAST SALE,2017-08-08,Single Family Residential,20073 Beatty Ridge Rd,LOS GATOS,CA,95033,965000,3,2,LOS GATOS,2128,59982,453
PAST SALE,2017-08-08,Single Family Residential,21392 Madrone Dr,LOS GATOS,CA,95033,1170000,6,3,LOS GATOS,3092,25560,378
PAST SALE,2017-08-08,Townhouse,124 Charter Oaks Cir,LOS GATOS,CA,95032,1150000,3,2.5,LOS GATOS,1691,2016,680
PAST SALE,2017-08-08,Townhouse,405 Clearview Dr,LOS GATOS,CA,95032,1360000,4,3,LOS GATOS,2122,2220,641
PAST SALE,2017-08-09,Single Family Residential,21670 Oak Flat Rd,LOS GATOS,CA,95033,720000,3,2.5,LOS GATOS,1908,111601,377
PAST SALE,2017-08-10,Single Family Residential,18291 Bayview Dr,LOS GATOS,CA,95033,950000,3,2.5,LOS GATOS,2200,14382,432
PAST SALE,2017-08-10,Single Family Residential,18525 Vina Dr,LOS GATOS,CA,95033,570000,3,2,LOS GATOS,954,10557,597
PAST SALE,2017-08-10,Single Family Residential,120 Pinta Ct,LOS GATOS,CA,95030,1965000,3,2.5,LOS GATOS,2800,30000,702
PAST SALE,2017-08-11,Single Family Residential,26000 Pierce Rd,LOS GATOS,CA,95033,810000,3,2,LOS GATOS,1747,179075,464
PAST SALE,2017-08-11,Townhouse,150 Calle Larga,LOS GATOS,CA,95032,1147500,3,3,LOS GATOS,2035,2835,564
PAST SALE,2017-08-11,Single Family Residential,5276 Kentfield Dr,SAN JOSE,CA,95124,1630000,4,3,SAN JOSE,2404,6438,678
PAST SALE,2017-08-11,Single Family Residential,16265 Greenridge Ter,LOS GATOS,CA,95032,2250000,3,2.5,LOS GATOS,2362,78426,953
PAST SALE,2017-08-11,Single Family Residential,108 Towne Ter,LOS GATOS,CA,95032,1785000,3,2.5,LOS GATOS,1657,3192,1077
PAST SALE,2017-08-11,Single Family Residential,107 Colorado Ct,LOS GATOS,CA,95032,4350000,5,5.5,LOS GATOS,5800,40029,750
PAST SALE,2017-08-14,Single Family Residential,5319 Leigh Ave,SAN JOSE,CA,95124,1300000,3,2,SAN JOSE,1740,6820,747
PAST SALE,2017-08-14,Single Family Residential,17024 Pine Ave,LOS GATOS,CA,95032,2820000,4,3,LOS GATOS,3107,10018,908
PAST SALE,2017-08-15,Single Family Residential,21516 Old Mine Rd,LOS GATOS,CA,95033,610000,1,1,LOS GATOS,832,23169,733
PAST SALE,2017-08-15,Single Family Residential,5604 Begonia Dr,SAN JOSE,CA,95124,950000,3,2,SAN JOSE,1253,6500,758
PAST SALE,2017-08-16,Single Family Residential,15221 Old Ranch Rd,LOS GATOS,CA,95033,920000,4,2.5,LOS GATOS,2246,184564,410
PAST SALE,2017-08-16,Townhouse,115 Strathmore,LOS GATOS,CA,95032,1141000,3,2,LOS GATOS,1420,3500,804
PAST SALE,2017-08-16,Single Family Residential,15603 Benedict Ln,LOS GATOS,CA,95032,1670000,3,1.5,LOS GATOS,1545,9375,1081
PAST SALE,2017-08-16,Single Family Residential,231 Arroyo Grande Way,LOS GATOS,CA,95032,1850000,3,2,LOS GATOS,1823,13900,1015
PAST SALE,2017-08-16,Single Family Residential,15401 Shannon Rd,LOS GATOS,CA,95032,3600000,4,3.5,LOS GATOS,3716,40800,969
PAST SALE,2017-08-17,Single Family Residential,115 Vallecitos Way,LOS GATOS,CA,95032,2320000,4,2.5,LOS GATOS,2313,17754,1003
PAST SALE,2017-08-18,Single Family Residential,17920 Daves Ave,MONTE SERENO,CA,95030,3775000,6,5.5,MONTE SERENO,6871,50749,549
PAST SALE,2017-08-21,Single Family Residential,190 Bersano Ln,LOS GATOS,CA,95030,2632500,3,2.5,LOS GATOS,2196,5995,1199
PAST SALE,2017-08-22,Single Family Residential,1707 Zinnia Ln,SAN JOSE,CA,95124,1212000,4,2,SAN JOSE,1364,7020,889
PAST SALE,2017-08-22,Single Family Residential,15461 National Ave,LOS GATOS,CA,95032,1465000,3,3,LOS GATOS,2729,6970,537
PAST SALE,2017-08-22,Single Family Residential,15909 Linda Ave,LOS GATOS,CA,95032,3175000,4,3,LOS GATOS,3014,17753,1053
PAST SALE,2017-08-22,Single Family Residential,360 Bachman Ave,LOS GATOS,CA,95030,2600000,3,2.5,LOS GATOS,2259,4828,1151
PAST SALE,2017-08-23,Townhouse,107 Summerwood Dr,LOS GATOS,CA,95032,1150000,3,2.5,LOS GATOS,1520,1800,757
PAST SALE,2017-08-24,Townhouse,120 Cherry Wood Ct,LOS GATOS,CA,95032,1070000,4,2.5,LOS GATOS,1454,1680,736
PAST SALE,2017-08-24,Single Family Residential,204 Prince St,LOS GATOS,CA,95032,1720000,3,2,LOS GATOS,1856,9238,927
PAST SALE,2017-08-24,Single Family Residential,399 School Ct,LOS GATOS,CA,95032,1600069,3,2.5,LOS GATOS,2101,2772,762
PAST SALE,2017-08-25,Single Family Residential,17721 Navajo Trl,LOS GATOS,CA,95033,605000,2,1,LOS GATOS,841,3630,719
PAST SALE,2017-08-25,Single Family Residential,14731 Golf Links Dr,LOS GATOS,CA,95032,2275000,3,2.5,LOS GATOS,2091,19125,1088
PAST SALE,2017-08-25,Single Family Residential,112 Granada Way,LOS GATOS,CA,95032,2150000,4,2.5,LOS GATOS,2613,14880,823
PAST SALE,2017-08-25,Single Family Residential,155 Teresita Way,LOS GATOS,CA,95032,2150000,5,3.5,LOS GATOS,3277,34650,656
PAST SALE,2017-08-28,Townhouse,100 Rio Vis,LOS GATOS,CA,95032,1175000,3,2.5,LOS GATOS,2319,1917,507
PAST SALE,2017-08-29,Townhouse,16345 Los Gatos Blvd #27,LOS GATOS,CA,95032,1052000,2,2,LOS GATOS,1130,1600,931
PAST SALE,2017-08-29,Townhouse,1778 Las Joyas Ct,LOS GATOS,CA,95032,1152000,3,2.5,LOS GATOS,1953,2040,590
PAST SALE,2017-08-30,Single Family Residential,15990 Rose Ave,LOS GATOS,CA,95030,2550000,3,3,LOS GATOS,3208,29630,795
PAST SALE,2017-08-31,Single Family Residential,18293 Bayview Dr,LOS GATOS,CA,95033,1110000,3,2,LOS GATOS,1779,19950,624
PAST SALE,2017-08-31,Townhouse,18400 Overlook Rd #33,LOS GATOS,CA,95030,1315000,3,2.5,LOS GATOS,1916,1508,686
PAST SALE,2017-08-31,Townhouse,117 El Altillo,LOS GATOS,CA,95032,1358000,3,2.5,LOS GATOS,2156,2400,630
PAST SALE,2017-09-01,Single Family Residential,66 Alpine Ave,LOS GATOS,CA,95030,3460000,4,3.5,LOS GATOS,3962,15352,873
PAST SALE,2017-09-05,Single Family Residential,21440 Shady Ln,LOS GATOS,CA,95033,650000,3,2,LOS GATOS,2000,13300,325
PAST SALE,2017-09-05,Single Family Residential,5299 Kentfield Dr,SAN JOSE,CA,95124,1305000,3,2,SAN JOSE,1248,6438,1046
PAST SALE,2017-09-05,Single Family Residential,15330 Francis Oaks Way,LOS GATOS,CA,95032,1790000,3,2,LOS GATOS,2182,41382,820
PAST SALE,2017-09-06,Townhouse,18400 Overlook Rd #28,LOS GATOS,CA,95030,1335000,3,2.5,LOS GATOS,1916,1624,697
PAST SALE,2017-09-07,Single Family Residential,17120 La Rinconada Dr,MONTE SERENO,CA,95030,1725000,6,3,MONTE SERENO,2758,7144,625
PAST SALE,2017-09-07,Single Family Residential,222 Mattson Ave,LOS GATOS,CA,95032,1710000,4,3,LOS GATOS,1948,7990,878
PAST SALE,2017-09-07,Single Family Residential,15951 Linda Ave,LOS GATOS,CA,95032,2990008,4,4.5,LOS GATOS,3131,10141,955
PAST SALE,2017-09-07,Single Family Residential,15258 BLACKBERRY HILL Rd,LOS GATOS,CA,95030,2550000,5,4.5,LOS GATOS,5686,240058,448
PAST SALE,2017-09-07,Single Family Residential,17259 Clearview Dr,LOS GATOS,CA,95032,4000000,5,4.5,LOS GATOS,4177,14536,958
PAST SALE,2017-09-08,Townhouse,14587 S Bascom Ave,LOS GATOS,CA,95032,815000,2,2.5,LOS GATOS,1334,529,611
PAST SALE,2017-09-08,Single Family Residential,116 Arroyo Grande Way,LOS GATOS,CA,95032,1525000,3,2,LOS GATOS,1230,7000,1240
PAST SALE,2017-09-08,Single Family Residential,20702 Santa Cruz Hwy,LOS GATOS,CA,95033,1950000,5,5,LOS GATOS,5084,77536,384
PAST SALE,2017-09-08,Single Family Residential,16250 Brooke Acres Dr,LOS GATOS,CA,95032,3150000,4,3.5,LOS GATOS,4207,59939,749
PAST SALE,2017-09-11,Condo/Co-op,443 Alberto Way Unit B215,LOS GATOS,CA,95032,600000,2,2,LOS GATOS,1076,,558
PAST SALE,2017-09-11,Single Family Residential,20284 Bear Creek Rd,LOS GATOS,CA,95033,1182500,4,3,LOS GATOS,2432,59677,486
PAST SALE,2017-09-12,Condo/Co-op,14225 Lora Dr #64,LOS GATOS,CA,95032,555000,2,2,LOS GATOS,1050,2242,529
PAST SALE,2017-09-12,Single Family Residential,17295 Melody Ln,LOS GATOS,CA,95033,1277000,5,3.5,LOS GATOS,3056,47518,418
PAST SALE,2017-09-12,Single Family Residential,112 Bacigalupi Dr,LOS GATOS,CA,95032,1850000,4,3,LOS GATOS,2460,7000,752
PAST SALE,2017-09-13,Single Family Residential,16520 S Kennedy Rd,LOS GATOS,CA,95030,6400000,5,5.5,LOS GATOS,7000,70131,914
PAST SALE,2017-09-13,Single Family Residential,14910 Sky Ln,LOS GATOS,CA,95032,3000000,4,4.5,LOS GATOS,3664,71874,819
PAST SALE,2017-09-14,Townhouse,660 W Parr Ave,CAMPBELL,CA,95008,1028800,3,2.5,CAMPBELL,1813,1984,567
PAST SALE,2017-09-15,Single Family Residential,18475 Circle Dr,LOS GATOS,CA,95033,725000,2,1,LOS GATOS,1368,7536,530
PAST SALE,2017-09-15,Single Family Residential,26751 Adams Rd,LOS GATOS,CA,95033,995000,3,2,LOS GATOS,1428,106591,697
PAST SALE,2017-09-15,Townhouse,137 Escobar Ave,LOS GATOS,CA,95032,1040000,3,2,LOS GATOS,1494,1400,696
PAST SALE,2017-09-15,Single Family Residential,105 Belvue Dr,LOS GATOS,CA,95032,1710000,3,2,LOS GATOS,1744,10720,981
PAST SALE,2017-09-15,Single Family Residential,130 Westhill Dr,LOS GATOS,CA,95032,1886000,3,2.5,LOS GATOS,2057,10375,917
PAST SALE,2017-09-15,Single Family Residential,440 San Benito Ave,LOS GATOS,CA,95030,2200000,4,3.5,LOS GATOS,2902,7200,758
PAST SALE,2017-09-15,Single Family Residential,29 Mariposa Ave,LOS GATOS,CA,95030,1825000,3,2,LOS GATOS,1501,8154,1216
PAST SALE,2017-09-15,Single Family Residential,16152 Azalea Way,LOS GATOS,CA,95032,2400000,4,2,LOS GATOS,1950,8000,1231
PAST SALE,2017-09-15,Single Family Residential,103 Leewood Ct,LOS GATOS,CA,95032,2220000,5,3,LOS GATOS,3086,10000,719
PAST SALE,2017-09-18,Single Family Residential,15140 Elm Park,MONTE SERENO,CA,95030,2917500,3,3.5,MONTE SERENO,2585,46609,1129
PAST SALE,2017-09-19,Single Family Residential,253 Las Miradas Dr,LOS GATOS,CA,95032,1750000,5,3,LOS GATOS,1820,6072,962
PAST SALE,2017-09-19,Single Family Residential,253 Las Miradas Dr,LOS GATOS,CA,95032,1750000,5,3,LOS GATOS,1820,6072,962
PAST SALE,2017-09-20,Single Family Residential,127 Briarwood Way,LOS GATOS,CA,95032,1625000,3,2,LOS GATOS,1612,8448,1008
PAST SALE,2017-09-22,Single Family Residential,288 Carlton Ave,LOS GATOS,CA,95032,1400000,3,2,LOS GATOS,1094,6420,1280
PAST SALE,2017-09-22,Single Family Residential,209 Forrester Rd,LOS GATOS,CA,95032,3400000,4,2.5,LOS GATOS,3589,104979,947
PAST SALE,2017-09-25,Single Family Residential,17741 Comanche Trl,LOS GATOS,CA,95033,550000,2,1,LOS GATOS,549,3956,1002
PAST SALE,2017-09-25,Townhouse,115 Vista Del Lago,LOS GATOS,CA,95032,1250000,3,2.5,LOS GATOS,1848,924,676
PAST SALE,2017-09-25,Townhouse,115 Vista Del Lago,LOS GATOS,CA,95032,1250000,3,2.5,LOS GATOS,1848,924,676
PAST SALE,2017-09-25,Single Family Residential,14940 Blossom Hill Rd,LOS GATOS,CA,95032,2200000,3,2.5,LOS GATOS,2936,60086,749
PAST SALE,2017-09-25,Single Family Residential,17645 Via Sereno,MONTE SERENO,CA,95030,2140000,4,2,MONTE SERENO,1932,8000,1108
PAST SALE,2017-09-25,Single Family Residential,15760 Eucalyptus Dr,LOS GATOS,CA,95030,2350000,4,3,LOS GATOS,2450,50025,959
PAST SALE,2017-09-25,Single Family Residential,16194 Lilac Ln,LOS GATOS,CA,95032,2192000,5,4,LOS GATOS,2474,8200,886
PAST SALE,2017-09-25,Single Family Residential,16625 Englewood Ave,LOS GATOS,CA,95032,2875000,4,4.5,LOS GATOS,3587,10017,802
PAST SALE,2017-09-26,Single Family Residential,18404 Main Blvd,LOS GATOS,CA,95033,768000,3,2,LOS GATOS,1590,48675,483
PAST SALE,2017-09-26,Single Family Residential,17770 Vista,MONTE SERENO,CA,95030,2450000,4,3.5,MONTE SERENO,2735,7360,896
PAST SALE,2017-09-26,Single Family Residential,320 Santa Rosa Dr,LOS GATOS,CA,95032,3250000,4,3.5,LOS GATOS,5291,76230,614
PAST SALE,2017-09-26,Single Family Residential,15963 Cherry Blossom Ln,LOS GATOS,CA,95032,2687000,4,2.5,LOS GATOS,3000,11790,896
PAST SALE,2017-09-26,Single Family Residential,17655 Tourney Rd,LOS GATOS,CA,95030,3310000,5,4.5,LOS GATOS,5217,84506,634
PAST SALE,2017-09-27,Single Family Residential,528 Roxbury Ln,LOS GATOS,CA,95032,1685000,3,3.5,LOS GATOS,1752,8470,962
PAST SALE,2017-09-27,Single Family Residential,138 Wood Rd,LOS GATOS,CA,95030,2400000,3,3,LOS GATOS,2704,150282,888
PAST SALE,2017-09-27,Single Family Residential,201 University Ave,LOS GATOS,CA,95030,3250000,4,3,LOS GATOS,2948,5566,1102
PAST SALE,2017-09-28,Single Family Residential,100 Smith Ranch Ct,LOS GATOS,CA,95032,1200000,2,2,LOS GATOS,1351,4625,888
PAST SALE,2017-09-28,Single Family Residential,15860 Union Ave,LOS GATOS,CA,95032,2368000,4,3,LOS GATOS,2933,18730,807
PAST SALE,2017-09-28,Single Family Residential,16611 Madrone Ave,LOS GATOS,CA,95030,3998000,5,4,LOS GATOS,4863,16117,822
PAST SALE,2017-09-29,Townhouse,16979 Roberts Rd #6,LOS GATOS,CA,95032,1250000,3,2.5,LOS GATOS,1835,2960,681
PAST SALE,2017-09-29,Condo/Co-op,102 Cherry Wood Ct,LOS GATOS,CA,95032,865000,2,2,LOS GATOS,1461,2040,592
PAST SALE,2017-09-29,Single Family Residential,23343 Deerfield Rd,LOS GATOS,CA,95033,1110000,3,2,LOS GATOS,2011,46261,552
PAST SALE,2017-09-29,Townhouse,16979 Roberts Rd #6,LOS GATOS,CA,95032,1250000,3,2.5,LOS GATOS,1835,2960,681
PAST SALE,2017-09-29,Single Family Residential,15581 Flintridge Dr,LOS GATOS,CA,95032,1600000,3,2.5,LOS GATOS,2106,8880,760
PAST SALE,2017-09-29,Single Family Residential,17923 Foster Rd,LOS GATOS,CA,95030,3375000,4,3.5,LOS GATOS,3358,216800,1005
PAST SALE,2017-09-30,Single Family Residential,28 Pennsylvania Ave,LOS GATOS,CA,95030,2030000,3,2,LOS GATOS,1946,8775,1043
PAST SALE,2017-10-02,Townhouse,164 Milmar Way,LOS GATOS,CA,95032,980000,3,2,LOS GATOS,1494,1400,656
PAST SALE,2017-10-02,Condo/Co-op,14225 Lora Dr #59,LOS GATOS,CA,95032,575000,2,1,LOS GATOS,996,2242,577
PAST SALE,2017-10-02,Single Family Residential,1239 Bracebridge Ct,CAMPBELL,CA,95008,1300000,3,2.5,CAMPBELL,2036,3500,639
PAST SALE,2017-10-03,Single Family Residential,19162 Old Vineyard Rd,LOS GATOS,CA,95033,1575000,4,3.5,LOS GATOS,3405,31842,463
PAST SALE,2017-10-03,Single Family Residential,19740 Oakmont Dr,LOS GATOS,CA,95033,1525000,3,3.5,LOS GATOS,2452,32400,622
PAST SALE,2017-10-04,Single Family Residential,26145 Pierce Rd,LOS GATOS,CA,95033,890000,3,2.5,LOS GATOS,1581,40859,563
PAST SALE,2017-10-04,Single Family Residential,14938 Larga Vista Dr,LOS GATOS,CA,95032,3750000,5,4.5,LOS GATOS,5034,470012,745
PAST SALE,2017-10-05,Townhouse,16345 Los Gatos Blvd #51,LOS GATOS,CA,95032,1200000,3,2.5,LOS GATOS,1260,1600,952
PAST SALE,2017-10-05,Single Family Residential,5530 Blossom Tree Ln,SAN JOSE,CA,95124,1700000,4,3,SAN JOSE,1550,7098,1097
PAST SALE,2017-10-06,Condo/Co-op,576 W Parr Ave #10,LOS GATOS,CA,95032,575000,2,1,LOS GATOS,934,1587,616
PAST SALE,2017-10-06,Townhouse,152 Maggi Ct,LOS GATOS,CA,95032,1550000,3,2.5,LOS GATOS,1650,1306,939
PAST SALE,2017-10-06,Single Family Residential,17341 E Vineland Ave,LOS GATOS,CA,95030,2520000,4,3,LOS GATOS,2871,11040,878
PAST SALE,2017-10-10,Single Family Residential,1924 Adelaide Way,SAN JOSE,CA,95124,1240000,3,2,SAN JOSE,1740,6400,713
PAST SALE,2017-10-10,Single Family Residential,1498 Vale Ave,CAMPBELL,CA,95008,1500000,4,3.5,CAMPBELL,2095,11250,716
PAST SALE,2017-10-10,Single Family Residential,16580 Topping Way,LOS GATOS,CA,95032,2180000,4,2,LOS GATOS,2233,10275,976
PAST SALE,2017-10-11,Single Family Residential,14270 Arnerich Rd,Los Gatos,CA,95032,1250000,3,1,Los Gatos,1466,87120,853
PAST SALE,2017-10-11,Single Family Residential,414 Hershner Way,LOS GATOS,CA,95032,1492000,4,2,LOS GATOS,1622,9700,920
PAST SALE,2017-10-11,Single Family Residential,14270 Arnerich Rd,Los Gatos,CA,95032,1250000,3,1,Los Gatos,1466,87120,853
PAST SALE,2017-10-12,Single Family Residential,260 Garden Hill Dr,LOS GATOS,CA,95032,1575000,2,2,LOS GATOS,1272,7000,1238
PAST SALE,2017-10-12,Single Family Residential,16759 Frank Ave,LOS GATOS,CA,95032,1537500,3,2,LOS GATOS,1372,8970,1121
PAST SALE,2017-10-12,Single Family Residential,226 Caldwell Ave,LOS GATOS,CA,95032,2096000,4,2,LOS GATOS,1937,7700,1082
PAST SALE,2017-10-13,Single Family Residential,17970 Helen Way,LOS GATOS,CA,95033,1020000,2,2,LOS GATOS,1257,11200,811
PAST SALE,2017-10-13,Single Family Residential,20170 Thompson Rd,LOS GATOS,CA,95033,1887500,4,4.5,LOS GATOS,4090,190792,461
PAST SALE,2017-10-13,Single Family Residential,119 Old Adobe Rd,LOS GATOS,CA,95032,2201000,5,4,LOS GATOS,3300,13000,667
PAST SALE,2017-10-16,Single Family Residential,15050 STETSON,LOS GATOS,CA,95033,635000,3,2,LOS GATOS,1500,60984,423
PAST SALE,2017-10-17,Single Family Residential,118 Lansberry Ct,LOS GATOS,CA,95032,2165000,4,2,LOS GATOS,2176,8000,995
PAST SALE,2017-10-17,Single Family Residential,16508 Farvue Ln,LOS GATOS,CA,95030,1930000,2,2.5,LOS GATOS,2464,44100,783
PAST SALE,2017-10-18,Single Family Residential,212 Beethoven Ln,LOS GATOS,CA,95032,1555000,4,2.5,LOS GATOS,2116,3767,735
PAST SALE,2017-10-18,Single Family Residential,16443 Englewood Ave,LOS GATOS,CA,95032,5550000,5,6.5,LOS GATOS,5838,20800,951
PAST SALE,2017-10-19,Townhouse,179 Escobar Ave,LOS GATOS,CA,95032,1038000,3,2,LOS GATOS,1218,2666,852
PAST SALE,2017-10-19,Single Family Residential,308 Escobar Ave,LOS GATOS,CA,95032,1830000,4,2.5,LOS GATOS,2344,8008,781
PAST SALE,2017-10-20,Single Family Residential,375 Knowles Dr Lot 33,LOS GATOS,CA,95032,1753698,4,2.5,LOS GATOS,2224,3321,789
PAST SALE,2017-10-20,Single Family Residential,223 Westchester Dr,LOS GATOS,CA,95032,1780000,4,2,LOS GATOS,2088,8667,852
PAST SALE,2017-10-20,Single Family Residential,16000 Glen Una Dr,LOS GATOS,CA,95030,3850000,4,3,LOS GATOS,3918,104864,983
PAST SALE,2017-10-23,Condo/Co-op,14225 Lora Dr #78,LOS GATOS,CA,95032,600000,2,2,LOS GATOS,1050,2242,571
PAST SALE,2017-10-23,Single Family Residential,16130 Lilac Ln,LOS GATOS,CA,95032,2200000,4,3,LOS GATOS,2210,11122,995
PAST SALE,2017-10-23,Single Family Residential,254 University Ave,LOS GATOS,CA,95030,2515000,3,2.5,LOS GATOS,1758,4360,1431
PAST SALE,2017-10-24,Single Family Residential,20117 Beatty Ridge Rd,LOS GATOS,CA,95033,1030000,3,2,LOS GATOS,2072,42689,497
PAST SALE,2017-10-24,Single Family Residential,23380 Morrill Rd,LOS GATOS,CA,95033,1449000,4,2,LOS GATOS,2820,145308,514
PAST SALE,2017-10-24,Single Family Residential,211 Westhill Dr,LOS GATOS,CA,95032,2315000,4,3,LOS GATOS,2856,13939,811
PAST SALE,2017-10-25,Townhouse,205 Casitas Bulevar,LOS GATOS,CA,95032,1525000,4,2.5,LOS GATOS,2212,2400,689
PAST SALE,2017-10-25,Single Family Residential,328 Market St,LOS GATOS,CA,95032,1807509,4,3,LOS GATOS,2165,2976,835
PAST SALE,2017-10-26,Townhouse,2029 Los Gatos Almaden Rd,SAN JOSE,CA,95124,965000,3,2.5,SAN JOSE,1467,1200,658
PAST SALE,2017-10-27,Townhouse,202 Altura Vis,LOS GATOS,CA,95032,1215000,3,3,LOS GATOS,2053,1971,592
PAST SALE,2017-10-27,Townhouse,424 Clearview Dr,LOS GATOS,CA,95032,1121000,3,2,LOS GATOS,1409,3404,796
PAST SALE,2017-10-27,Single Family Residential,108 Belcrest Dr,LOS GATOS,CA,95032,1665000,5,3,LOS GATOS,2448,9875,680
PAST SALE,2017-10-27,Single Family Residential,30 Tait Ave,LOS GATOS,CA,95030,2000000,3,3,LOS GATOS,1785,5220,1120
PAST SALE,2017-10-27,Single Family Residential,14564 EASTVIEW Dr,LOS GATOS,CA,95032,3040000,5,5,LOS GATOS,4104,17914,741
PAST SALE,2017-10-30,Townhouse,123 El Pinar,LOS GATOS,CA,95032,1365000,3,2.5,LOS GATOS,2220,2700,615
PAST SALE,2017-10-31,Single Family Residential,21717 Summit Rd,LOS GATOS,CA,95033,1175000,4,2,LOS GATOS,1696,9400,693
PAST SALE,2017-10-31,Single Family Residential,1875 Blossom Hill Rd,SAN JOSE,CA,95124,1360000,3,2,SAN JOSE,2104,10500,646
PAST SALE,2017-10-31,Single Family Residential,124 Verde Ct,LOS GATOS,CA,95032,2125000,4,3.5,LOS GATOS,2751,8712,772
PAST SALE,2017-10-31,Single Family Residential,169 Longmeadow Dr,LOS GATOS,CA,95032,3000000,4,3.5,LOS GATOS,3816,18200,786
PAST SALE,2017-11-01,Condo/Co-op,71 Roberts Rd #5,LOS GATOS,CA,95032,811000,2,2,LOS GATOS,1154,,703
PAST SALE,2017-11-01,Single Family Residential,23640 Old Santa Cruz Hwy,LOS GATOS,CA,95033,875000,4,2,LOS GATOS,2127,33323,411
